year|arid|count
2004|40134027208|42
2004|20001844827|42
2004|40481290152|41
2004|10000024171|41
2004|20000523965|40
2004|40000012504|40
2004|40050495284|40
2004|40000014468|38
2004|40000002720|38
2004|77774500004|38
2004|71084800006|38
2004|10000000869|37
2004|77650700000|37
2004|40000008149|37
2004|20000233031|34
2004|40000000670|34
2004|76426800000|33
2004|71549600001|32
2004|77604800006|32
2004|77652800004|32
2004|77465600054|32
2004|20002041034|31
2004|77517300005|31
2004|10000000008|30
2004|71750800001|30
2004|20001845002|29
2004|10000023160|28
2004|77943800003|27
2004|71707500002|27
2004|20001868177|26
2004|30000017953|26
2004|77851800005|26
2004|795-2622032|26
2004|77979400002|25
2004|40061104540|25
2004|70330756645|24
2004|77516800003|24
2004|20001845011|23
2004|20002039488|22
2004|20001844975|22
2004|71438500002|22
2004|50000060522|22
2004|161-0902130|22
2004|10000023801|21
2004|71393900005|21
2004|77718200008|20
2004|71256700000|20
2004|77642300001|19
2004|20001844283|19
2004|71611300007|19
2004|40000015909|18
2004|10000000786|18
2004|71152600000|18
2004|50000060520|18
2004|71349000009|17
2004|722-3191019|17
2004|20000913940|17
2004|71345300006|17
2004|20002817118|17
2004|363-1131381|17
2004|10000014294|17
2004|794-3338516|17
2004|77772300000|17
2004|77811300008|17
2004|71718800007|17
2004|76480209999|17
2004|20002041007|17
2004|77431100008|16
2004|77929100009|16
2004|10000024189|16
2004|20002751913|15
2004|77373400006|15
2004|77092200000|15
2004|10000008846|15
2004|20001844265|15
2004|30000012437|15
2004|30000000057|14
2004|30000011813|14
2004|71422400005|14
2004|71522600000|14
2004|20001847305|13
2004|20001847163|13
2004|20000374653|13
2004|50000002658|13
2004|77503100002|13
2004|713-2868346|13
2004|73919409997|13
2004|50000068241|13
2004|77323800008|12
2004|71810000005|12
2004|20001844948|12
2004|20001844845|12
2004|705-0560686|12
2004|30000000193|12
2004|20001844836|11
2004|72120900003|11
2004|10000017437|11
2004|50000066642|11
2004|20002041418|11
2004|71345700002|11
2004|50000003841|11
2005|20001881185|8715
2005|20001993734|6201
2005|775-2921540|4803
2005|20002751986|4032
2005|77699300007|1697
2005|77185300006|1681
2005|20001644643|1638
2005|40931186856|1633
2005|30000025653|1581
2005|10000014761|1552
2005|154-1927192|1502
2005|20001942602|1177
2005|77775100007|1125
2005|40640713034|1117
2005|705-0402708|1071
2005|71958200004|1063
2005|20002751995|1011
2005|40000015044|951
2005|71259600009|942
2005|70542046140|924
2005|20000860473|844
2005|77364800008|841
2005|20002281148|820
2005|74216200005|799
2005|40000002630|763
2005|20001072246|761
2005|720-1848324|756
2005|70458600405|724
2005|148-0875093|717
