year|arid|count
2004|40000008173|11
2004|71565900005|11
2004|40132999081|11
2004|30000000680|11
2004|30000016114|11
2004|30000015496|11
2004|77943800003|11
2004|30000012610|11
2004|71463300003|11
2004|30000032102|11
2004|30000025870|11
2004|30000004239|11
2004|77892800004|11
2004|30000027476|11
2004|10000020184|11
2004|40000008551|11
2004|30000026703|11
2004|77551100008|11
2004|30000090040|11
2004|77794500000|11
2004|50000005866|11
2004|77801700003|11
2005|775-2921540|14665
2005|20001644643|14325
2005|77604800006|13096
2005|77431100008|9671
2005|77756600001|8369
2005|30000025653|7999
2005|77185300006|6212
2005|70458600405|6111
2005|20003197134|6058
2005|71534900004|5026
2005|40000014939|4948
2005|71958100003|4536
2005|40931186856|4247
2005|77592700002|4032
2005|152-2113031|3810
2005|71259600009|3433
2005|71958200004|2875
2005|10000001741|2730
2005|77775100007|2588
2005|10000000869|2303
2005|20001881185|1799
2005|77900200006|1712
2005|71512400000|1679
2005|71003800004|1622
2005|40050495284|1614
2005|722-3848508|1600
2005|20002751986|1577
2005|765-0367752|1524
2005|20002752527|1367
2005|722-3191019|1273
2005|756-2270727|1238
2005|20002817118|1171
2005|795-2622032|1154
2005|71999200003|1106
2005|71917700009|1080
2005|10000014761|1067
2005|71077600005|1015
2005|71556900003|955
2005|77373400006|916
2005|77069000008|889
2005|775-3000943|846
2005|71830200003|827
2005|77909100002|784
2005|40000003970|783
2005|71463600006|758
2005|20001993734|730
2005|77271100003|722
2005|111-3324993|720
2005|20002751810|707
2005|704-3697858|702
2005|72120900003|697
2005|720-1848324|668
2005|20001843606|661
2005|433-0661303|653
2005|77101800009|647
2005|40000008183|639
2005|71857500007|607
2005|72085300005|563
2005|20000902270|562
2005|77943800003|561
2005|40000012504|540
2005|705-0402708|516
2005|406-1551833|497
2005|723-2425397|496
2005|20001942602|486
2005|20002751995|477
2005|705-0560686|476
2005|40000002630|476
2005|772-1521765|470
2005|77250500004|448
2005|702-0560839|440
2005|10000023160|426
2005|71557900001|418
2005|20003106181|405
2005|71851400008|403
2005|20002977601|383
2005|77197000003|379
2005|20000860473|379
2005|20002751922|378
2005|733-0824565|371
2005|71718800007|364
2005|71206600009|355
2005|148-0875093|354
2005|71855800007|351
2005|20002751968|342
2005|71118100001|317
2005|20002752022|293
2005|71141000000|286
2005|77673400003|277
2005|70542046140|273
2005|77668700008|272
2005|722-3887207|270
2005|77479800008|266
2005|77769600009|260
2005|358-2257419|258
2005|727-0011311|257
2005|20001847305|256
2005|20000169653|252
2005|77465600054|249
2005|10000014740|235
2005|77615900001|229
2005|77542800002|213
2005|20002751847|212
2005|71813900002|211
2005|77979400002|208
2005|71059700002|205
2005|71707500002|203
2005|733-0806023|199
2005|71856900004|195
2005|20002752321|195
2005|71061700007|192
2005|71194900009|192
2005|71549600001|191
2005|71609800004|185
2005|20002751762|182
2005|71939500007|179
2005|701-0764768|179
2005|72130700003|177
2005|77233200004|177
2005|77364800008|174
2005|10000023446|170
2005|20001845020|168
2005|77555300005|164
2005|20002752013|164
2005|713-2868346|163
2005|10000000786|162
2005|20002751801|158
2005|71596800005|158
2005|313-3432069|158
2005|40000008412|154
2005|77289300004|153
2005|71412900001|151
2005|77892800004|149
2005|71394900006|147
2005|40000015044|144
2005|741-1810165|143
2005|71565900005|143
2005|163-0692047|142
2005|20002598051|138
2005|20002750532|136
2005|706-1554666|135
2005|30000028178|135
2005|71809900002|134
2005|71261700007|133
2005|10000024095|129
2005|77855000003|129
2005|20001844827|127
2005|736-3935147|127
2005|77875200001|126
2005|775-3004683|123
2005|20001847378|122
2005|20002040989|121
2005|794-3338516|120
2005|736-3440533|117
2005|73027509990|115
2005|363-1131381|114
2005|20003315853|114
2005|40000014468|114
2005|20001072246|113
2005|30000000178|110
2005|77059200001|110
2005|71499700000|108
2005|77082200001|106
2005|720-1588076|105
2005|20000311845|105
2005|20002041007|105
2005|77597300000|103
2005|20003340967|103
2005|77299000001|103
2005|20001844984|99
2005|71399000002|97
2005|70351887380|96
2005|20001216291|94
2005|20001844359|92
2005|71599100008|92
2005|20001847163|91
2005|74216200005|90
2005|20002134936|86
2005|10000024256|85
2005|20002040381|85
2005|71222400008|84
2005|704-3746618|83
2005|40000008475|81
2005|10000024189|80
2005|40000014470|79
2005|71066700001|78
2005|10000024561|77
2005|77364500001|74
2005|20002752077|74
2005|788-0324039|73
2005|20002039488|73
2005|77806400002|72
2005|20003104972|71
2005|77062300004|71
2005|20003197871|71
2005|362-1662612|70
2005|20002750242|70
2005|77718200008|69
2005|738-1781921|69
2005|77794500000|69
2005|77177900003|68
2005|71422400005|68
2005|20000233031|68
2005|711-2815564|67
2005|754-1761455|67
2005|77755900008|67
2005|71105700004|67
2005|20003144576|67
2005|758-2598326|66
2005|20001088890|66
2005|30000011813|65
2005|30000026799|65
2005|77075200002|64
2005|20002041034|64
2005|72073700008|63
2005|72064900008|63
2005|77692500004|62
2005|73028209994|62
2005|72010300006|62
2005|77768100008|62
2005|10000005288|62
2005|77568300002|62
2005|762-1717999|61
2005|71785200002|60
2005|20000659855|60
2005|71298200001|59
2005|705-0589958|59
2005|20001845039|58
2005|71788100000|58
2005|73831400006|58
2005|71810000005|57
2005|77868600006|57
2005|71095600009|57
2005|72132100007|57
2005|711-2409314|56
2005|77307600002|56
2005|74725909994|56
2005|71725800009|56
2005|70201426791|55
2005|77143200009|54
2005|71441900009|54
2005|71345300006|54
2005|795-4731883|52
2005|20001844948|52
2005|20001844939|52
2005|40000004072|52
2005|40000008876|51
2005|77978200004|51
2005|20001844340|51
2005|71991500005|50
2005|20001844975|49
2005|72050300009|49
2005|71270809992|49
2005|20002752684|49
2005|71728700007|47
2005|77442300004|47
2005|50000024702|47
2005|775-2820143|47
2005|30000012437|47
2005|30000032102|47
2005|752-2449741|47
2005|30000001695|46
2005|20000509811|46
2005|703-0417533|46
2005|40000015642|46
2005|70136609995|46
2005|71283400003|45
2005|20001844957|45
2005|50000060249|45
2005|10000000008|45
2005|791-1872563|45
2005|20001868177|45
2005|71780200000|45
2005|71843200000|45
2005|71392000005|45
2005|20000576710|45
2005|30000000057|44
2005|77774500004|43
2005|20001844331|42
2005|71738100008|41
2005|40593151342|41
