year|state|count
2014|22|168539
2014|41|165781
2014|21|147476
2014|40|145476
2014|49|142353
2014|32|117270
2014|19|114591
2014|09|112576
2014|05|107691
2014|20|94978
2014|28|88388
2014|35|70736
2014|72|69716
2014|16|69197
2014|31|68117
2014|54|53348
2014|33|52133
2014|23|49230
2014|15|39033
2014|10|39028
2014|30|37912
2014|44|33183
2014|46|29542
2014|11|28279
2014|38|27603
2014|02|26302
2014|56|24778
2014|50|20511
2015|06|1878495
2015|48|1139573
2015|12|893206
2015|17|517360
2015|42|481331
2015|13|478359
2015|37|457002
2015|51|445447
2015|39|439676
2015|36|439654
2015|26|424672
2015|08|409511
2015|04|391879
2015|53|387805
2015|34|354746
2015|24|316012
2015|47|305114
2015|25|299991
2015|18|288746
2015|27|280012
2015|29|276661
2015|NA|266009
2015|55|250077
2015|45|225542
2015|41|214365
2015|01|205039
2015|49|192509
2015|22|180533
2015|21|167714
2015|32|158259
2015|40|152804
2015|19|136795
2015|09|132491
2015|05|118384
2015|20|113367
2015|28|95532
2015|16|89063
2015|31|82331
2015|35|79236
2015|33|63482
2015|72|58798
2015|23|56450
2015|54|56189
2015|15|48255
2015|10|48176
2015|30|46419
2015|44|43611
2015|46|35072
2015|11|34958
2015|02|33421
2015|38|31382
2015|56|28641
2015|50|24028
2016|06|2235971
2016|48|1266767
2016|12|1043942
2016|17|583019
2016|13|547637
2016|42|526005
2016|37|519897
2016|51|494057
2016|39|493271
2016|08|483436
2016|04|478386
2016|36|477313
2016|26|470652
2016|53|466566
2016|34|399389
2016|24|358958
2016|47|350490
2016|25|350131
2016|18|319123
2016|29|312237
2016|27|308571
2016|55|277224
2016|45|257644
2016|NA|254571
2016|41|249739
2016|49|227871
2016|01|226918
2016|32|196764
2016|22|195937
2016|21|185587
2016|40|165463
2016|19|149227
2016|09|146885
2016|05|131352
2016|20|124922
2016|28|107199
2016|16|103880
2016|35|89390
2016|31|89068
2016|33|72628
2016|23|64142
2016|54|59932
2016|15|57857
2016|10|56002
2016|72|55699
2016|30|50537
2016|44|49775
2016|11|38399
2016|46|37648
2016|02|36105
2016|38|32670
2016|56|30163
2016|50|25971
